Seatte-Tacoma,Seattle,USA
Dulles,Washington,USA
Heathrow,London,UK
Schiphol,Amsterdam,Netherlands
Changi,Singapore,Singapore
Pearson,Toronto,Canada
Narita,Tokyo,Japan
